Iteration,Loss,Scamp Loss,Locref Loss,Limb Loss,Ir
1000,0.0118,0.0099,0.0004,0.0016,0.0001
2000,0.0055,0.0051,0.0001,0.0003,0.0001
3000,0.0044,0.0041,0.0001,0.0003,0.0001
4000,0.0035,0.0032,0.0001,0.0003,0.0001
5000,0.0030,0.0027,0.0000,0.0002,0.0001
6000,0.0026,0.0024,0.0000,0.0002,0.0001
7000,0.0023,0.0021,0.0000,0.0002,0.0001
8000,0.0020,0.0018,0.0000,0.0001,5E-05
9000,0.0017,0.0016,0.0000,0.0001,5E-05
10000,0.0017,0.0015,0.0000,0.0001,5E-05
11000,0.0016,0.0014,0.0000,0.0001,5E-05
12000,0.0015,0.0014,0.0000,0.0001,5E-05
13000,0.0013,0.0012,0.0000,0.0001,1E-05
14000,0.0013,0.0011,0.0000,0.0001,1E-05
15000,0.0012,0.0011,0.0000,0.0001,1E-05
16000,0.0012,0.0011,0.0000,0.0001,1E-05
17000,0.0012,0.0011,0.0000,0.0001,1E-05
18000,0.0012,0.0011,0.0000,0.0001,1E-05
19000,0.0012,0.0011,0.0000,0.0001,1E-05
20000,0.0012,0.0011,0.0000,0.0001,1E-05
21000,0.0012,0.0011,0.0000,0.0001,1E-05
22000,0.0011,0.0010,0.0000,0.0001,1E-05
23000,0.0011,0.0010,0.0000,0.0001,1E-05
24000,0.0011,0.0010,0.0000,0.0001,1E-05
25000,0.0011,0.0010,0.0000,0.0001,1E-05
26000,0.0011,0.0010,0.0000,0.0001,1E-05
27000,0.0011,0.0010,0.0000,0.0001,1E-05
28000,0.0011,0.0010,0.0000,0.0001,1E-05
29000,0.0011,0.0010,0.0000,0.0001,1E-05
30000,0.0011,0.0010,0.0000,0.0001,1E-05
